system:index,City,Month,PBLTOP,PS,QV2M,T2M,U10M,V10M,.geo
36_00000000000000000014,Mumbai,2018-01,87547.546875,99774.6015625,0.007585317362099886,296.7454833984375,-0.9011595845222473,-0.7733354568481445,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000015,Patna,2018-01,95070.46875,100729.53125,0.003799630096182227,287.8939514160156,2.334709882736206,-0.3357480764389038,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000016,Shillong,2018-01,79822.6953125,87647.65625,0.007302728481590748,283.74078369140625,0.33599093556404114,0.0633186623454094,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000017,Talcher,2018-01,90897.3515625,99002.5625,0.006388653535395861,290.4529113769531,0.603797435760498,-1.1361382007598877,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000018,Thiruvananthapuram,2018-01,88176.78125,98153.0390625,0.014248093590140343,297.0638122558594,-2.34535813331604,-1.9290616512298584,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_00000000000000000019,Visakhapatnam,2018-01,92978.578125,101057.359375,0.010741843841969967,295.6141357421875,-1.769511342048645,-1.3083672523498535,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000000,Ahmedabad,2018-02,85366.0390625,100203.2265625,0.004362531937658787,297.8750305175781,-0.20221181213855743,-1.150478720664978,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000001,Aizawl,2018-02,85946.9921875,92860.609375,0.008991670794785023,290.9668884277344,0.47306758165359497,0.36797067523002625,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000002,Amaravati,2018-02,86445.4921875,100786.015625,0.01050322875380516,299.81121826171875,-1.2640068531036377,1.35453462600708,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000003,Amritsar,2018-02,86731.859375,98622.90625,0.004843895323574543,290.1060485839844,1.2003159523010254,-1.0214059352874756,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000004,Bengaluru,2018-02,80200.1484375,91928.4609375,0.008635704405605793,294.93670654296875,-3.077700138092041,0.1709921807050705,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000005,Bhopal,2018-02,79472.015625,95983.3359375,0.0051735928282141685,295.7078857421875,-0.4876353442668915,-0.5445942878723145,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000006,Brajrajnagar,2018-02,85334.4921875,97985.8828125,0.0070723555982112885,295.9484558105469,0.4394277036190033,-1.0248582363128662,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000007,Chandigarh,2018-02,82488.1875,91435.734375,0.004415196366608143,287.7589111328125,0.3672749102115631,-1.2576971054077148,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000008,Chennai,2018-02,93339.53125,101313.59375,0.015018952079117298,298.9397277832031,-3.1977121829986572,-0.7580270767211914,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000009,Coimbatore,2018-02,86061.921875,96525.0703125,0.01047984417527914,297.9906921386719,-1.6942275762557983,-0.37936127185821533,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0000000000000000000a,Delhi,2018-02,90270.9453125,98847.6796875,0.003995339851826429,291.9055480957031,2.059516429901123,-1.517736554145813,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0000000000000000000b,Ernakulam,2018-02,89904.9375,100062.9765625,0.012757901102304459,301.7343444824219,-1.2700676918029785,-0.43940865993499756,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0000000000000000000c,Gurugram,2018-02,90270.9453125,98847.6796875,0.003995339851826429,291.9055480957031,2.059516429901123,-1.517736554145813,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0000000000000000000d,Guwahati,2018-02,93157.3125,99679.0859375,0.009691525250673294,292.2626037597656,0.9001924991607666,-1.3765223026275635,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0000000000000000000e,Hyderabad,2018-02,79355.3515625,95730.8828125,0.006609966978430748,297.97430419921875,-1.5478904247283936,0.4743210971355438,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0000000000000000000f,Jaipur,2018-02,82948.0390625,96796.59375,0.0036942169535905123,293.23162841796875,0.18037942051887512,-1.289601445198059,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000010,Jorapokhar,2018-02,90434.2109375,99323.5859375,0.007690455764532089,293.9721374511719,1.8916064500808716,-0.886745810508728,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000011,Kochi,2018-02,89904.9375,100062.9765625,0.012757901102304459,301.7343444824219,-1.2700676918029785,-0.43940865993499756,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000012,Kolkata,2018-02,93460.5546875,101246.7421875,0.009048135951161385,294.96807861328125,1.667112112045288,-0.6620338559150696,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000013,Lucknow,2018-02,87931.3359375,99993.7890625,0.004997173324227333,293.7681884765625,1.9383662939071655,-0.9789977073669434,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000014,Mumbai,2018-02,85482.171875,99781.8125,0.007173436693847179,299.73382568359375,-0.3366071879863739,-0.9797502160072327,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000015,Patna,2018-02,89625.71875,100659.65625,0.004627562593668699,294.97772216796875,1.958609700202942,-0.4755233824253082,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000016,Shillong,2018-02,80304.3125,87838.0546875,0.007887031883001328,286.52276611328125,1.603506326675415,0.8318516612052917,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000017,Talcher,2018-02,85405.1953125,98978.15625,0.00742362579330802,296.3874206542969,0.8336525559425354,-0.6259357929229736,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000018,Thiruvananthapuram,2018-02,89425.7890625,98208.6171875,0.01363444421440363,299.1327819824219,-3.489638328552246,-2.1282460689544678,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_00000000000000000019,Visakhapatnam,2018-02,94487.765625,101083.5859375,0.011993729509413242,298.1146240234375,-0.1483747810125351,1.1426035165786743,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_00000000000000000000,Ahmedabad,2018-03,78030.0546875,99905.1953125,0.004680456127971411,301.7656555175781,1.5127025842666626,-1.102449655532837,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_00000000000000000001,Aizawl,2018-03,82148.4765625,92663.359375,0.0101555697619915,294.830322265625,0.6726139187812805,0.2686726152896881,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_00000000000000000002,Amaravati,2018-03,83968.4765625,100469.2265625,0.01282415259629488,303.45343017578125,-0.5985907912254333,2.7221128940582275,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_00000000000000000003,Amritsar,2018-03,82715.7734375,98202.1171875,0.005797660909593105,296.6559753417969,1.255935549736023,-1.0657644271850586,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_00000000000000000004,Bengaluru,2018-03,76486.8203125,91758.296875,0.009208029136061668,299.1728515625,-2.670142412185669,0.504239022731781,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_00000000000000000005,Bhopal,2018-03,72095.3046875,95681.0703125,0.004662665538489819,300.6142883300781,1.084180474281311,-0.9861519932746887,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_00000000000000000006,Brajrajnagar,2018-03,78619.21875,97624.7578125,0.006482994183897972,301.6844482421875,0.525146484375,-0.6544456481933594,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_00000000000000000007,Chandigarh,2018-03,78654.1328125,91172.609375,0.005306356120854616,292.7900390625,0.9272592067718506,-1.2770401239395142,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_00000000000000000008,Chennai,2018-03,95272.1875,101043.8984375,0.017323913052678108,300.846435546875,-1.9883915185928345,2.5673866271972656,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_00000000000000000009,Coimbatore,2018-03,83310.40625,96316.3828125,0.01077919453382492,301.7008056640625,-1.465991497039795,0.19367416203022003,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0000000000000000000a,Delhi,2018-03,83160.71875,98420.7109375,0.00437614182010293,298.2738037109375,2.5662198066711426,-1.7723345756530762,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0000000000000000000b,Ernakulam,2018-03,88975.3203125,99910.296875,0.015591326169669628,303.0552673339844,0.6624508500099182,-0.27530521154403687,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0000000000000000000c,Gurugram,2018-03,83160.71875,98420.7109375,0.00437614182010293,298.2738037109375,2.5662198066711426,-1.7723345756530762,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0000000000000000000d,Guwahati,2018-03,88934.1640625,99380.453125,0.011334441602230072,296.4312438964844,0.9192492365837097,-1.3176108598709106,"{""type"":""MultiPoint"",""coordinates"":[]}"
